%iy  id  it imin   Q*      QH      QE      Qs      Qf    Wind    RH     Td     press   rain    Kdn    snow    ldown   fcld    wuh     xsmd    lai_hr  Kdiff   Kdir    Wd
1985 1 1 0 -999.00 -999.00 -999.00 -999.00 -999.00 4.00000 52.00 7.70 99.23 0.00 0.00 -999.00 328.00 -999.00 -999.00 -999.00 -999.00 0.00 0.00 57.00
1985 1 2 0 -999.00 -999.00 -999.00 -999.00 -999.00 3.70000 52.00 7.30 99.23 0.00 0.00 -999.00 328.00 -999.00 -999.00 -999.00 -999.00 0.00 0.00 51.00
1985 1 3 0 -999.00 -999.00 -999.00 -999.00 -999.00 4.00000 55.00 7.10 99.23 0.00 0.00 -999.00 326.00 -999.00 -999.00 -999.00 -999.00 0.00 0.00 51.00
1985 1 4 0 -999.00 -999.00 -999.00 -999.00 -999.00 4.40000 58.00 7.00 99.23 0.00 0.00 -999.00 327.00 -999.00 -999.00 -999.00 -999.00 0.00 0.00 53.00
1985 1 5 0 -999.00 -999.00 -999.00 -999.00 -999.00 4.60000 60.00 6.90 99.23 0.00 0.00 -999.00 329.00 -999.00 -999.00 -999.00 -999.00 0.00 0.00 54.00
1985 1 6 0 -999.00 -999.00 -999.00 -999.00 -999.00 4.80000 62.00 6.80 99.23 0.00 0.00 -999.00 328.00 -999.00 -999.00 -999.00 -999.00 0.00 0.00 52.00
1985 1 7 0 -999.00 -999.00 -999.00 -999.00 -999.00 4.90000 62.00 6.90 99.23 0.00 0.00 -999.00 327.00 -999.00 -999.00 -999.00 -999.00 0.00 0.00 47.00
1985 1 8 0 -999.00 -999.00 -999.00 -999.00 -999.00 4.80000 63.00 6.80 99.23 0.00 0.00 -999.00 329.00 -999.00 -999.00 -999.00 -999.00 0.00 0.00 38.00
1985 1 9 0 -999.00 -999.00 -999.00 -999.00 -999.00 4.80000 66.00 6.70 99.23 0.00 13.00 -999.00 327.00 -999.00 -999.00 -999.00 -999.00 12.00 1.00 29.00
1985 1 10 0 -999.00 -999.00 -999.00 -999.00 -999.00 4.80000 69.00 6.70 99.23 0.00 46.00 -999.00 330.00 -999.00 -999.00 -999.00 -999.00 41.00 13.00 26.00
1985 1 11 0 -999.00 -999.00 -999.00 -999.00 -999.00 4.20000 71.00 7.60 99.23 0.00 73.00 -999.00 326.00 -999.00 -999.00 -999.00 -999.00 66.00 19.00 31.00
1985 1 12 0 -999.00 -999.00 -999.00 -999.00 -999.00 3.90000 71.00 8.10 99.23 0.00 81.00 -999.00 331.00 -999.00 -999.00 -999.00 -999.00 75.00 14.00 34.00
1985 1 13 0 -999.00 -999.00 -999.00 -999.00 -999.00 3.80000 69.00 8.50 99.23 0.00 88.00 -999.00 325.00 -999.00 -999.00 -999.00 -999.00 82.00 12.00 41.00
1985 1 14 0 -999.00 -999.00 -999.00 -999.00 -999.00 3.70000 67.00 8.90 99.23 0.00 103.00 -999.00 328.00 -999.00 -999.00 -999.00 -999.00 90.00 33.00 53.00
1985 1 15 0 -999.00 -999.00 -999.00 -999.00 -999.00 3.90000 64.00 9.40 99.23 0.00 94.00 -999.00 333.00 -999.00 -999.00 -999.00 -999.00 83.00 30.00 63.00
1985 1 16 0 -999.00 -999.00 -999.00 -999.00 -999.00 4.00000 63.00 9.50 99.23 0.00 52.00 -999.00 331.00 -999.00 -999.00 -999.00 -999.00 50.00 11.00 72.00
1985 1 17 0 -999.00 -999.00 -999.00 -999.00 -999.00 3.60000 62.00 9.60 99.23 0.00 17.00 -999.00 329.00 -999.00 -999.00 -999.00 -999.00 15.00 10.00 79.00
1985 1 18 0 -999.00 -999.00 -999.00 -999.00 -999.00 3.30000 64.00 9.20 99.23 0.00 1.00 -999.00 323.00 -999.00 -999.00 -999.00 -999.00 1.00 0.00 82.00
1985 1 19 0 -999.00 -999.00 -999.00 -999.00 -999.00 3.40000 65.00 9.10 99.23 0.00 0.00 -999.00 327.00 -999.00 -999.00 -999.00 -999.00 0.00 0.00 85.00
1985 1 20 0 -999.00 -999.00 -999.00 -999.00 -999.00 3.50000 67.00 9.10 99.23 0.00 0.00 -999.00 332.00 -999.00 -999.00 -999.00 -999.00 0.00 0.00 87.00
1985 1 21 0 -999.00 -999.00 -999.00 -999.00 -999.00 3.50000 69.00 9.10 99.23 0.00 0.00 -999.00 324.00 -999.00 -999.00 -999.00 -999.00 0.00 0.00 90.00
1985 1 22 0 -999.00 -999.00 -999.00 -999.00 -999.00 3.70000 69.00 9.20 99.23 0.00 0.00 -999.00 326.00 -999.00 -999.00 -999.00 -999.00 0.00 0.00 95.00
1985 1 23 0 -999.00 -999.00 -999.00 -999.00 -999.00 3.40000 68.00 8.90 99.23 0.00 0.00 -999.00 325.00 -999.00 -999.00 -999.00 -999.00 0.00 0.00 96.00
1985 2 0 0 -999.00 -999.00 -999.00 -999.00 -999.00 3.80000 68.00 9.00 99.23 0.00 0.00 -999.00 333.00 -999.00 -999.00 -999.00 -999.00 0.00 0.00 95.00
1985 2 1 0 -999.00 -999.00 -999.00 -999.00 -999.00 4.20000 68.00 8.90 99.23 0.00 0.00 -999.00 335.00 -999.00 -999.00 -999.00 -999.00 0.00 0.00 92.00
1985 2 2 0 -999.00 -999.00 -999.00 -999.00 -999.00 4.50000 67.00 8.90 99.23 0.00 0.00 -999.00 332.00 -999.00 -999.00 -999.00 -999.00 0.00 0.00 94.00
1985 2 3 0 -999.00 -999.00 -999.00 -999.00 -999.00 4.90000 67.00 8.80 99.23 0.00 0.00 -999.00 330.00 -999.00 -999.00 -999.00 -999.00 0.00 0.00 92.00
1985 2 4 0 -999.00 -999.00 -999.00 -999.00 -999.00 4.60000 67.00 8.90 99.23 0.00 0.00 -999.00 330.00 -999.00 -999.00 -999.00 -999.00 0.00 0.00 95.00
1985 2 5 0 -999.00 -999.00 -999.00 -999.00 -999.00 4.00000 68.00 9.00 99.23 0.00 0.00 -999.00 328.00 -999.00 -999.00 -999.00 -999.00 0.00 0.00 95.00
1985 2 6 0 -999.00 -999.00 -999.00 -999.00 -999.00 3.80000 69.00 9.00 99.23 0.00 0.00 -999.00 331.00 -999.00 -999.00 -999.00 -999.00 0.00 0.00 90.00
1985 2 7 0 -999.00 -999.00 -999.00 -999.00 -999.00 3.30000 69.00 9.00 99.23 0.00 0.00 -999.00 332.00 -999.00 -999.00 -999.00 -999.00 0.00 0.00 86.00
1985 2 8 0 -999.00 -999.00 -999.00 -999.00 -999.00 2.60000 69.00 9.10 99.23 0.00 0.00 -999.00 336.00 -999.00 -999.00 -999.00 -999.00 0.00 0.00 91.00
1985 2 9 0 -999.00 -999.00 -999.00 -999.00 -999.00 1.80000 72.00 9.00 99.23 0.10 14.00 -999.00 332.00 -999.00 -999.00 -999.00 -999.00 13.00 0.00 89.00
1985 2 10 0 -999.00 -999.00 -999.00 -999.00 -999.00 2.20000 74.00 9.10 99.23 0.20 39.00 -999.00 337.00 -999.00 -999.00 -999.00 -999.00 39.00 0.00 75.00
1985 2 11 0 -999.00 -999.00 -999.00 -999.00 -999.00 2.50000 80.00 8.90 99.23 0.40 59.00 -999.00 333.00 -999.00 -999.00 -999.00 -999.00 59.00 0.00 43.00
1985 2 12 0 -999.00 -999.00 -999.00 -999.00 -999.00 2.30000 84.00 8.70 99.23 0.50 63.00 -999.00 334.00 -999.00 -999.00 -999.00 -999.00 62.00 0.00 42.00
1985 2 13 0 -999.00 -999.00 -999.00 -999.00 -999.00 2.30000 86.00 8.60 99.23 0.50 71.00 -999.00 341.00 -999.00 -999.00 -999.00 -999.00 69.00 2.00 43.00
1985 2 14 0 -999.00 -999.00 -999.00 -999.00 -999.00 2.00000 87.00 8.50 99.23 0.40 68.00 -999.00 342.00 -999.00 -999.00 -999.00 -999.00 67.00 2.00 44.00
1985 2 15 0 -999.00 -999.00 -999.00 -999.00 -999.00 1.50000 87.00 8.60 99.23 0.30 52.00 -999.00 342.00 -999.00 -999.00 -999.00 -999.00 52.00 0.00 47.00
1985 2 16 0 -999.00 -999.00 -999.00 -999.00 -999.00 1.50000 88.00 8.50 99.23 0.20 36.00 -999.00 343.00 -999.00 -999.00 -999.00 -999.00 36.00 0.00 52.00
1985 2 17 0 -999.00 -999.00 -999.00 -999.00 -999.00 1.70000 87.00 8.60 99.23 0.10 15.00 -999.00 339.00 -999.00 -999.00 -999.00 -999.00 15.00 0.00 52.00
1985 2 18 0 -999.00 -999.00 -999.00 -999.00 -999.00 2.00000 87.00 8.70 99.23 0.10 1.00 -999.00 341.00 -999.00 -999.00 -999.00 -999.00 1.00 0.00 41.00
1985 2 19 0 -999.00 -999.00 -999.00 -999.00 -999.00 2.00000 87.00 8.70 99.23 0.10 0.00 -999.00 337.00 -999.00 -999.00 -999.00 -999.00 0.00 0.00 27.00
1985 2 20 0 -999.00 -999.00 -999.00 -999.00 -999.00 2.20000 87.00 8.70 99.23 0.00 0.00 -999.00 346.00 -999.00 -999.00 -999.00 -999.00 0.00 0.00 14.00
1985 2 21 0 -999.00 -999.00 -999.00 -999.00 -999.00 2.20000 87.00 8.90 99.23 0.00 0.00 -999.00 342.00 -999.00 -999.00 -999.00 -999.00 0.00 0.00 0.00
1985 2 22 0 -999.00 -999.00 -999.00 -999.00 -999.00 2.30000 87.00 8.80 99.23 0.00 0.00 -999.00 346.00 -999.00 -999.00 -999.00 -999.00 0.00 0.00 351.00
1985 2 23 0 -999.00 -999.00 -999.00 -999.00 -999.00 2.40000 85.00 8.60 99.23 0.00 0.00 -999.00 344.00 -999.00 -999.00 -999.00 -999.00 0.00 0.00 344.00
1985 3 0 0 -999.00 -999.00 -999.00 -999.00 -999.00 2.30000 85.00 8.50 99.23 0.00 0.00 -999.00 343.00 -999.00 -999.00 -999.00 -999.00 0.00 0.00 344.00
1985 3 1 0 -999.00 -999.00 -999.00 -999.00 -999.00 2.20000 86.00 8.70 99.23 0.00 0.00 -999.00 344.00 -999.00 -999.00 -999.00 -999.00 0.00 0.00 345.00
1985 3 2 0 -999.00 -999.00 -999.00 -999.00 -999.00 2.10000 86.00 8.60 99.23 0.00 0.00 -999.00 340.00 -999.00 -999.00 -999.00 -999.00 0.00 0.00 343.00
1985 3 3 0 -999.00 -999.00 -999.00 -999.00 -999.00 2.10000 87.00 8.30 99.23 0.00 0.00 -999.00 337.00 -999.00 -999.00 -999.00 -999.00 0.00 0.00 343.00
1985 3 4 0 -999.00 -999.00 -999.00 -999.00 -999.00 2.00000 89.00 8.20 99.23 0.00 0.00 -999.00 332.00 -999.00 -999.00 -999.00 -999.00 0.00 0.00 344.00
1985 3 5 0 -999.00 -999.00 -999.00 -999.00 -999.00 1.70000 91.00 7.40 99.23 0.00 0.00 -999.00 306.00 -999.00 -999.00 -999.00 -999.00 0.00 0.00 346.00
1985 3 6 0 -999.00 -999.00 -999.00 -999.00 -999.00 1.40000 92.00 7.20 99.23 0.00 0.00 -999.00 312.00 -999.00 -999.00 -999.00 -999.00 0.00 0.00 353.00
1985 3 7 0 -999.00 -999.00 -999.00 -999.00 -999.00 1.00000 93.00 6.90 99.23 0.00 0.00 -999.00 300.00 -999.00 -999.00 -999.00 -999.00 0.00 0.00 5.00
1985 3 8 0 -999.00 -999.00 -999.00 -999.00 -999.00 0.90000 93.00 6.70 99.23 0.00 0.00 -999.00 306.00 -999.00 -999.00 -999.00 -999.00 0.00 0.00 1.00
1985 3 9 0 -999.00 -999.00 -999.00 -999.00 -999.00 1.10000 93.00 6.90 99.23 0.00 60.00 -999.00 291.00 -999.00 -999.00 -999.00 -999.00 29.00 159.00 353.00
1985 3 10 0 -999.00 -999.00 -999.00 -999.00 -999.00 1.30000 91.00 8.40 99.23 0.00 154.00 -999.00 292.00 -999.00 -999.00 -999.00 -999.00 72.00 340.00 354.00
1985 3 11 0 -999.00 -999.00 -999.00 -999.00 -999.00 0.80000 85.00 10.20 99.23 0.00 207.00 -999.00 303.00 -999.00 -999.00 -999.00 -999.00 107.00 300.00 2.00
