%iy  id  it imin   Q*      QH      QE      Qs      Qf    Wind    RH     Td     press   rain    Kdn    snow    ldown   fcld    wuh     xsmd    lai_hr  Kdiff   Kdir    Wd
1985 199 0 0 -999.00 -999.00 -999.00 -999.00 -999.00 1.60000 92.00 22.50 98.88 0.00 0.00 -999.00 359.00 -999.00 -999.00 -999.00 -999.00 0.00 0.00 97.00
1985 199 1 0 -999.00 -999.00 -999.00 -999.00 -999.00 2.00000 92.00 22.80 98.88 0.00 0.00 -999.00 356.00 -999.00 -999.00 -999.00 -999.00 0.00 0.00 89.00
1985 199 2 0 -999.00 -999.00 -999.00 -999.00 -999.00 2.30000 91.00 22.40 98.88 0.00 0.00 -999.00 356.00 -999.00 -999.00 -999.00 -999.00 0.00 0.00 82.00
1985 199 3 0 -999.00 -999.00 -999.00 -999.00 -999.00 2.30000 90.00 22.20 98.88 0.00 0.00 -999.00 356.00 -999.00 -999.00 -999.00 -999.00 0.00 0.00 81.00
1985 199 4 0 -999.00 -999.00 -999.00 -999.00 -999.00 2.30000 89.00 22.20 98.88 0.00 0.00 -999.00 355.00 -999.00 -999.00 -999.00 -999.00 0.00 0.00 74.00
1985 199 5 0 -999.00 -999.00 -999.00 -999.00 -999.00 2.20000 92.00 21.90 98.88 0.00 0.00 -999.00 368.00 -999.00 -999.00 -999.00 -999.00 0.00 0.00 56.00
1985 199 6 0 -999.00 -999.00 -999.00 -999.00 -999.00 2.10000 91.00 21.90 98.88 0.00 35.00 -999.00 384.00 -999.00 -999.00 -999.00 -999.00 24.00 72.00 26.00
1985 199 7 0 -999.00 -999.00 -999.00 -999.00 -999.00 1.80000 90.00 22.50 98.88 0.00 132.00 -999.00 379.00 -999.00 -999.00 -999.00 -999.00 74.00 212.00 354.00
1985 199 8 0 -999.00 -999.00 -999.00 -999.00 -999.00 1.30000 87.00 22.80 98.88 0.00 280.00 -999.00 378.00 -999.00 -999.00 -999.00 -999.00 113.00 373.00 312.00
1985 199 9 0 -999.00 -999.00 -999.00 -999.00 -999.00 1.90000 76.00 23.90 98.88 0.00 441.00 -999.00 373.00 -999.00 -999.00 -999.00 -999.00 138.00 507.00 267.00
1985 199 10 0 -999.00 -999.00 -999.00 -999.00 -999.00 3.10000 55.00 28.00 99.07 0.00 567.00 -999.00 373.00 -999.00 -999.00 -999.00 -999.00 168.00 543.00 230.00
1985 199 11 0 -999.00 -999.00 -999.00 -999.00 -999.00 4.80000 52.00 28.00 99.09 0.00 688.00 -999.00 377.00 -999.00 -999.00 -999.00 -999.00 187.00 591.00 240.00
1985 199 12 0 -999.00 -999.00 -999.00 -999.00 -999.00 6.50000 50.00 28.00 99.12 0.00 762.00 -999.00 375.00 -999.00 -999.00 -999.00 -999.00 198.00 620.00 220.00
1985 199 13 0 -999.00 -999.00 -999.00 -999.00 -999.00 8.20000 66.00 28.00 99.15 0.10 767.00 -999.00 380.00 -999.00 -999.00 -999.00 -999.00 205.00 603.00 230.00
1985 199 14 0 -999.00 -999.00 -999.00 -999.00 -999.00 8.60000 66.00 28.00 99.18 0.10 750.00 -999.00 396.00 -999.00 -999.00 -999.00 -999.00 193.00 614.00 201.00
1985 199 15 0 -999.00 -999.00 -999.00 -999.00 -999.00 8.90000 67.00 28.00 99.20 0.30 668.00 -999.00 378.00 -999.00 -999.00 -999.00 -999.00 173.00 592.00 192.00
1985 199 16 0 -999.00 -999.00 -999.00 -999.00 -999.00 9.30000 70.00 28.00 99.22 0.20 569.00 -999.00 379.00 -999.00 -999.00 -999.00 -999.00 150.00 580.00 250.00
1985 199 17 0 -999.00 -999.00 -999.00 -999.00 -999.00 8.90000 74.00 26.70 99.26 0.10 452.00 -999.00 365.00 -999.00 -999.00 -999.00 -999.00 127.00 557.00 165.00
1985 199 18 0 -999.00 -999.00 -999.00 -999.00 -999.00 8.60000 64.00 25.30 99.29 0.10 285.00 -999.00 361.00 -999.00 -999.00 -999.00 -999.00 97.00 440.00 154.00
1985 199 19 0 -999.00 -999.00 -999.00 -999.00 -999.00 8.20000 74.00 24.00 99.32 0.00 133.00 -999.00 360.00 -999.00 -999.00 -999.00 -999.00 60.00 289.00 160.00
1985 199 20 0 -999.00 -999.00 -999.00 -999.00 -999.00 6.20000 74.00 23.70 99.41 0.00 36.00 -999.00 358.00 -999.00 -999.00 -999.00 -999.00 21.00 109.00 136.00
1985 199 21 0 -999.00 -999.00 -999.00 -999.00 -999.00 4.10000 74.00 23.30 99.50 0.00 1.00 -999.00 365.00 -999.00 -999.00 -999.00 -999.00 1.00 0.00 128.00
1985 199 22 0 -999.00 -999.00 -999.00 -999.00 -999.00 2.10000 73.00 23.00 99.59 0.00 0.00 -999.00 374.00 -999.00 -999.00 -999.00 -999.00 0.00 0.00 210.00
1985 199 23 0 -999.00 -999.00 -999.00 -999.00 -999.00 2.10000 78.00 22.30 99.64 0.00 0.00 -999.00 368.00 -999.00 -999.00 -999.00 -999.00 0.00 0.00 115.00

