folder_name,area,width,mean_building_height,mean_building_height_side1,mean_building_height_side2,lh_ratio,direction,mrt_mean,mrt_min,mrt_max,dir_sin,dir_cos
width10_deg000_h10to10,1000.0,10.0,10.0,10,10,1.0,0,33.99,29.81,36.75,0.0,1.0
width10_deg000_h10to15,1000.0,10.0,12.5,10,15,0.8,0,34.05,29.78,36.63,0.0,1.0
width10_deg000_h10to20,1000.0,10.0,15.0,10,20,0.6666666666666666,0,34.05,29.08,36.86,0.0,1.0
width10_deg000_h15to15,1000.0,10.0,15.0,15,15,0.6666666666666666,0,33.59,29.76,36.91,0.0,1.0
width10_deg000_h15to20,1000.0,10.0,17.5,15,20,0.5714285714285714,0,33.59,29.04,37.13,0.0,1.0
width10_deg000_h20to20,1000.0,10.0,20.0,20,20,0.5,0,32.68,28.93,36.92,0.0,1.0
width10_deg000_h5to10,1000.0,10.0,7.5,5,10,1.3333333333333333,0,34.52,29.86,36.14,0.0,1.0
width10_deg000_h5to15,1000.0,10.0,10.0,5,15,1.0,0,34.58,30.2,36.2,0.0,1.0
width10_deg000_h5to20,1000.0,10.0,12.5,5,20,0.8,0,34.6,29.13,36.24,0.0,1.0
width10_deg000_h5to5,1000.0,10.0,5.0,5,5,2.0,0,34.43,29.41,36.09,0.0,1.0
width10_deg030_h10to10,1000.0000000000003,10.0,10.0,10,10,1.0,30,31.86,28.45,36.33,0.49999999999999994,0.8660254037844387
width10_deg030_h10to15,1000.0000000000003,10.0,12.5,10,15,0.8,30,31.8,28.66,36.38,0.49999999999999994,0.8660254037844387
width10_deg030_h10to20,1000.0000000000003,10.0,15.0,10,20,0.6666666666666666,30,31.69,27.68,36.53,0.49999999999999994,0.8660254037844387
width10_deg030_h15to15,1000.0000000000003,10.0,15.0,15,15,0.6666666666666666,30,31.04,28.47,36.33,0.49999999999999994,0.8660254037844387
width10_deg030_h15to20,1000.0000000000003,10.0,17.5,15,20,0.5714285714285714,30,30.91,27.61,36.38,0.49999999999999994,0.8660254037844387
width10_deg030_h20to20,1000.0000000000003,10.0,20.0,20,20,0.5,30,30.5,27.55,36.33,0.49999999999999994,0.8660254037844387
width10_deg030_h5to10,1000.0000000000003,10.0,7.5,5,10,1.3333333333333333,30,33.08,28.37,36.62,0.49999999999999994,0.8660254037844387
width10_deg030_h5to15,1000.0000000000003,10.0,10.0,5,15,1.0,30,33.04,28.61,36.8,0.49999999999999994,0.8660254037844387
width10_deg030_h5to20,1000.0000000000003,10.0,12.5,5,20,0.8,30,32.99,27.63,36.8,0.49999999999999994,0.8660254037844387
width10_deg030_h5to5,1000.0000000000003,10.0,5.0,5,5,2.0,30,33.3,28.69,36.4,0.49999999999999994,0.8660254037844387
width10_deg060_h10to10,999.9999999999992,10.0,10.0,10,10,1.0,60,30.37,28.1,36.33,0.8660254037844386,0.5000000000000001
width10_deg060_h10to15,999.9999999999992,10.0,12.5,10,15,0.8,60,30.34,27.84,36.36,0.8660254037844386,0.5000000000000001
width10_deg060_h10to20,999.9999999999992,10.0,15.0,10,20,0.6666666666666666,60,30.16,27.64,36.43,0.8660254037844386,0.5000000000000001
width10_deg060_h15to15,999.9999999999992,10.0,15.0,15,15,0.6666666666666666,60,30.16,27.8,36.33,0.8660254037844386,0.5000000000000001
width10_deg060_h15to20,999.9999999999992,10.0,17.5,15,20,0.5714285714285714,60,29.96,27.32,36.36,0.8660254037844386,0.5000000000000001
width10_deg060_h20to20,999.9999999999992,10.0,20.0,20,20,0.5,60,29.79,27.25,36.33,0.8660254037844386,0.5000000000000001
width10_deg060_h5to10,999.9999999999992,10.0,7.5,5,10,1.3333333333333333,60,31.15,28.09,36.36,0.8660254037844386,0.5000000000000001
width10_deg060_h5to15,999.9999999999992,10.0,10.0,5,15,1.0,60,31.14,28.51,36.43,0.8660254037844386,0.5000000000000001
width10_deg060_h5to20,999.9999999999992,10.0,12.5,5,20,0.8,60,30.96,27.68,36.48,0.8660254037844386,0.5000000000000001
width10_deg060_h5to5,999.9999999999992,10.0,5.0,5,5,2.0,60,31.7,29.37,36.33,0.8660254037844386,0.5000000000000001
width10_deg090_h10to10,1000.0,10.0,10.0,10,10,1.0,90,29.22,28.18,32.57,1.0,6.123233995736766e-17
width10_deg090_h10to15,1000.0,10.0,12.5,10,15,0.8,90,28.95,28.21,32.71,1.0,6.123233995736766e-17
width10_deg090_h10to20,1000.0,10.0,15.0,10,20,0.6666666666666666,90,28.89,27.89,32.99,1.0,6.123233995736766e-17
width10_deg090_h15to15,1000.0,10.0,15.0,15,15,0.6666666666666666,90,28.66,27.58,32.91,1.0,6.123233995736766e-17
width10_deg090_h15to20,1000.0,10.0,17.5,15,20,0.5714285714285714,90,28.6,27.59,33.08,1.0,6.123233995736766e-17
width10_deg090_h20to20,1000.0,10.0,20.0,20,20,0.5,90,28.61,27.56,33.17,1.0,6.123233995736766e-17
width10_deg090_h5to10,1000.0,10.0,7.5,5,10,1.3333333333333333,90,30.01,29.27,32.64,1.0,6.123233995736766e-17
width10_deg090_h5to15,1000.0,10.0,10.0,5,15,1.0,90,29.75,28.77,32.77,1.0,6.123233995736766e-17
width10_deg090_h5to20,1000.0,10.0,12.5,5,20,0.8,90,29.7,28.28,32.77,1.0,6.123233995736766e-17
width10_deg090_h5to5,1000.0,10.0,5.0,5,5,2.0,90,30.86,30.2,33.29,1.0,6.123233995736766e-17
width10_deg120_h10to10,999.9999999999998,10.0,10.0,10,10,1.0,120,30.49,28.42,36.33,0.8660254037844387,-0.4999999999999998
width10_deg120_h10to15,999.9999999999998,10.0,12.5,10,15,0.8,120,30.1,27.83,36.34,0.8660254037844387,-0.4999999999999998
width10_deg120_h10to20,999.9999999999998,10.0,15.0,10,20,0.6666666666666666,120,29.78,27.82,36.39,0.8660254037844387,-0.4999999999999998
width10_deg120_h15to15,999.9999999999998,10.0,15.0,15,15,0.6666666666666666,120,30.02,27.89,36.33,0.8660254037844387,-0.4999999999999998
width10_deg120_h15to20,999.9999999999998,10.0,17.5,15,20,0.5714285714285714,120,29.76,28.05,36.34,0.8660254037844387,-0.4999999999999998
width10_deg120_h20to20,999.9999999999998,10.0,20.0,20,20,0.5,120,29.7,27.38,36.33,0.8660254037844387,-0.4999999999999998
width10_deg120_h5to10,999.9999999999998,10.0,7.5,5,10,1.3333333333333333,120,30.66,28.55,36.34,0.8660254037844387,-0.4999999999999998
width10_deg120_h5to15,999.9999999999998,10.0,10.0,5,15,1.0,120,30.21,28.14,36.39,0.8660254037844387,-0.4999999999999998
width10_deg120_h5to20,999.9999999999998,10.0,12.5,5,20,0.8,120,29.96,27.98,36.41,0.8660254037844387,-0.4999999999999998
width10_deg120_h5to5,999.9999999999998,10.0,5.0,5,5,2.0,120,31.57,29.18,36.33,0.8660254037844387,-0.4999999999999998
width10_deg150_h10to10,1000.0000000000002,10.0,10.0,10,10,1.0,150,31.7,28.39,36.33,0.49999999999999994,-0.8660254037844387
width10_deg150_h10to15,1000.0000000000002,10.0,12.5,10,15,0.8,150,30.91,28.22,36.34,0.49999999999999994,-0.8660254037844387
width10_deg150_h10to20,1000.0000000000002,10.0,15.0,10,20,0.6666666666666666,150,30.49,28.13,36.57,0.49999999999999994,-0.8660254037844387
width10_deg150_h15to15,1000.0000000000002,10.0,15.0,15,15,0.6666666666666666,150,30.94,28.43,36.33,0.49999999999999994,-0.8660254037844387
width10_deg150_h15to20,1000.0000000000002,10.0,17.5,15,20,0.5714285714285714,150,30.53,28.45,36.34,0.49999999999999994,-0.8660254037844387
width10_deg150_h20to20,1000.0000000000002,10.0,20.0,20,20,0.5,150,30.51,28.03,36.33,0.49999999999999994,-0.8660254037844387
width10_deg150_h5to10,1000.0000000000002,10.0,7.5,5,10,1.3333333333333333,150,31.76,28.68,36.34,0.49999999999999994,-0.8660254037844387
width10_deg150_h5to15,1000.0000000000002,10.0,10.0,5,15,1.0,150,30.97,28.55,36.57,0.49999999999999994,-0.8660254037844387
width10_deg150_h5to20,1000.0000000000002,10.0,12.5,5,20,0.8,150,30.43,28.38,36.85,0.49999999999999994,-0.8660254037844387
width10_deg150_h5to5,1000.0000000000002,10.0,5.0,5,5,2.0,150,33.04,28.9,36.33,0.49999999999999994,-0.8660254037844387
width10_deg180_h10to10,1000.0,10.0,10.0,10,10,1.0,180,33.99,29.81,36.75,1.2246467991473532e-16,-1.0
width10_deg180_h10to15,1000.0,10.0,12.5,10,15,0.8,180,33.54,29.77,36.67,1.2246467991473532e-16,-1.0
width10_deg180_h10to20,1000.0,10.0,15.0,10,20,0.6666666666666666,180,32.65,29.66,36.71,1.2246467991473532e-16,-1.0
width10_deg180_h15to15,1000.0,10.0,15.0,15,15,0.6666666666666666,180,33.59,29.76,36.91,1.2246467991473532e-16,-1.0
width10_deg180_h15to20,1000.0,10.0,17.5,15,20,0.5714285714285714,180,32.69,29.0,36.89,1.2246467991473532e-16,-1.0
width10_deg180_h20to20,1000.0,10.0,20.0,20,20,0.5,180,32.68,28.93,36.92,1.2246467991473532e-16,-1.0
